id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1
1,Página,,,,,,,,,Página 1
2,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
3,Proceso,Figuras de diagramas de flujo,1,,,,,,,residencia
4,Proceso,Figuras de diagramas de flujo,1,,,,,,,pais_visitado
5,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
6,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
7,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
8,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
9,Proceso,Figuras de diagramas de flujo,1,,,,,,,rionegro
10,Proceso,Figuras de diagramas de flujo,1,,,,,,,medellin
11,Proceso,Figuras de diagramas de flujo,1,,,,,,,colombia
12,Proceso,Figuras de diagramas de flujo,1,,,,,,,Brasil
13,Proceso,Figuras de diagramas de flujo,1,,,,,,,pais_futuro
14,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
15,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
16,Proceso,Figuras de diagramas de flujo,1,,,,,,,select
17,Proceso,Figuras de diagramas de flujo,1,,,,,,,radio
18,Proceso,Figuras de diagramas de flujo,1,,,,,,,checkbox
19,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
20,Proceso,Figuras de diagramas de flujo,1,,,,,,,belgica
21,Proceso,Figuras de diagramas de flujo,1,,,,,,,rusia
22,Nota,UML,1,,,,,,,*-<29->29-L-U
23,Nota,UML,1,,,,,,,*-L-U-3
24,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
25,Proceso,Figuras de diagramas de flujo,1,,,,,,,text
26,Nota,UML,1,,,,,,,*-L-U
27,Terminador,Figuras de diagramas de flujo,1,,,,,,,regla
28,Terminador,Figuras de diagramas de flujo,1,,,,,,,Regla
29,Terminador,Figuras de diagramas de flujo,1,,,,,,,regla
30,Proceso,Figuras de diagramas de flujo,1,,,,,,,info_hotel
31,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
32,Proceso,Figuras de diagramas de flujo,1,,,,,,,ubicacion
33,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
34,Proceso,Figuras de diagramas de flujo,1,,,,,,,select
35,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
36,Proceso,Figuras de diagramas de flujo,1,,,,,,,Janeiro
37,Proceso,Figuras de diagramas de flujo,1,,,,,,,brucelas
38,Proceso,Figuras de diagramas de flujo,1,,,,,,,NombreHotel
39,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
40,Proceso,Figuras de diagramas de flujo,1,,,,,,,text
41,Proceso,Figuras de diagramas de flujo,1,,,,,,,ID
42,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
43,Proceso,Figuras de diagramas de flujo,1,,,,,,,password
