id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1
1,Página,,,,,,,,,Página 1
2,Objeto,UML,1,,,,,,,Sign_up
3,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
4,Proceso,Figuras de diagramas de flujo,1,,,,,,,Contact_information
5,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
6,Cinta de papel,Figuras de diagramas de flujo,1,,,,,,,titulo
7,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
8,Proceso,Figuras de diagramas de flujo,1,,,,,,,nombre
9,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
10,Proceso,Figuras de diagramas de flujo,1,,,,,,,input
11,Proceso,Figuras de diagramas de flujo,1,,,,,,,Email
12,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
13,Proceso,Figuras de diagramas de flujo,1,,,,,,,mail
14,Proceso,Figuras de diagramas de flujo,1,,,,,,,Password
15,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
16,Proceso,Figuras de diagramas de flujo,1,,,,,,,password
17,Proceso,Figuras de diagramas de flujo,1,,,,,,,Shipment_Informatio
18,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
19,Cinta de papel,Figuras de diagramas de flujo,1,,,,,,,titulo
20,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
21,Proceso,Figuras de diagramas de flujo,1,,,,,,,Street_Address
22,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
23,Proceso,Figuras de diagramas de flujo,1,,,,,,,input
24,Proceso,Figuras de diagramas de flujo,1,,,,,,,State_Province
25,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
26,Proceso,Figuras de diagramas de flujo,1,,,,,,,option
27,Proceso,Figuras de diagramas de flujo,1,,,,,,,city
28,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
29,Proceso,Figuras de diagramas de flujo,1,,,,,,,option
30,Línea,,1,,,2,3,None,Arrow,
31,Línea,,1,,,3,4,None,Arrow,
32,Línea,,1,,,4,5,None,Arrow,
33,Línea,,1,,,5,6,None,Arrow,
34,Línea,,1,,,4,7,None,Arrow,
35,Línea,,1,,,7,8,None,Arrow,
36,Línea,,1,,,8,9,None,Arrow,
37,Línea,,1,,,9,10,None,Arrow,
38,Línea,,1,,,7,11,None,Arrow,
39,Línea,,1,,,11,12,None,Arrow,
40,Línea,,1,,,12,13,None,Arrow,
41,Línea,,1,,,7,14,None,Arrow,
42,Línea,,1,,,14,15,None,Arrow,
43,Línea,,1,,,15,16,None,Arrow,
44,Línea,,1,,,17,18,None,Arrow,
45,Línea,,1,,,18,19,None,Arrow,
46,Línea,,1,,,17,20,None,Arrow,
47,Línea,,1,,,20,21,None,Arrow,
48,Línea,,1,,,21,22,None,Arrow,
49,Línea,,1,,,22,23,None,Arrow,
50,Línea,,1,,,20,24,None,Arrow,
51,Línea,,1,,,24,25,None,Arrow,
52,Línea,,1,,,25,26,None,Arrow,
53,Línea,,1,,,20,27,None,Arrow,
54,Línea,,1,,,27,28,None,Arrow,
55,Línea,,1,,,28,29,None,Arrow,
56,Línea,,1,,,3,17,None,Arrow,
