id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1
1,Página,,,,,,,,,Página 1
2,Objeto,UML,1,,,,,,,formulario
3,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
4,Proceso,Figuras de diagramas de flujo,1,,,,,,,residencia
5,Proceso,Figuras de diagramas de flujo,1,,,,,,,pais_visitado
6,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
7,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
8,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
9,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
10,Proceso,Figuras de diagramas de flujo,1,,,,,,,rionegro
11,Proceso,Figuras de diagramas de flujo,1,,,,,,,medellin
12,Proceso,Figuras de diagramas de flujo,1,,,,,,,colombia
13,Proceso,Figuras de diagramas de flujo,1,,,,,,,Brasil
14,Proceso,Figuras de diagramas de flujo,1,,,,,,,pais_futuro
15,Proceso,Figuras de diagramas de flujo,1,,,,,,,info_viajes
16,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
17,Datos (E/S),Figuras de diagramas de flujo,1,,,,,,,es
18,Proceso,Figuras de diagramas de flujo,1,,,,,,,select
19,Proceso,Figuras de diagramas de flujo,1,,,,,,,radius
20,Proceso,Figuras de diagramas de flujo,1,,,,,,,checkbox
21,Terminador,Figuras de diagramas de flujo,1,,,,,,,tiene
22,Proceso,Figuras de diagramas de flujo,1,,,,,,,belgica
23,Proceso,Figuras de diagramas de flujo,1,,,,,,,rusia
24,Línea,,1,,,2,3,None,Arrow,
25,Línea,,1,,,4,6,None,Arrow,
26,Línea,,1,,,5,7,None,Arrow,
27,Línea,,1,,,6,18,None,Arrow,
28,Línea,,1,,,7,19,None,Arrow,
29,Línea,,1,,,18,8,None,Arrow,
30,Línea,,1,,,19,9,None,Arrow,
31,Línea,,1,,,8,10,None,Arrow,
32,Línea,,1,,,8,11,None,Arrow,
33,Línea,,1,,,9,12,None,Arrow,
34,Línea,,1,,,9,13,None,Arrow,
35,Línea,,1,,,3,15,None,Arrow,
36,Línea,,1,,,15,16,None,Arrow,
37,Línea,,1,,,16,4,None,Arrow,
38,Línea,,1,,,16,5,None,Arrow,
39,Línea,,1,,,16,14,None,Arrow,
40,Línea,,1,,,14,17,None,Arrow,
41,Línea,,1,,,17,20,None,Arrow,
42,Línea,,1,,,20,21,None,Arrow,
43,Línea,,1,,,21,22,None,Arrow,
44,Línea,,1,,,21,23,None,Arrow,
